Customer_ID,Sex,Earnings,Region_Code,Marital Status,State_of_Origin,Customer_Worth,Customer_Reply,Plan,Certification,Effective To Date,Status_of_Employment,Premium_Auto_per_Month,Total Claim Amount,Vehicle Class,Vehicle Size,Months Since Last Claim,Months Since Policy Inception,Counts_of_Open_Complaints,No_Of_POlicy,kind_of_policy,Active_Policy,Sales Channel,Best_Offer
Customer_434,Female,97134,Suburban,Single,Kano,5017.009472,Interested,Silver,First_Degree,3/2/2011,Fully_Employed,260,624.0,SUV,Medsize,12,15,0,1,Corporate,C_L2,Agent,1
Customer_4641,Female,53754,Suburban,Married,Abuja,5151.301306,Not_interested,Silver,First_Degree,1/22/11,Fully_Employed,262,628.8,SUV,Small,5,2,0,1,Personal,P_L2,Agent,3
Customer_4952,Female,25804,Suburban,Divorced,Lagos,4906.894731,Interested,Silver,HND,2/14/11,In_Retirement,278,667.2,Sports Car,Medsize,3,51,0,1,Personal,P_L3,Agent,0
Customer_1489,Female,0,Suburban,Single,Imo,8512.525936,Not_interested,Silver,HND,8/1/2011,Not_employed,242,871.2,Sports Car,Medsize,5,94,0,8,Personal,P_L2,Branch,1
Customer_812,Male,140494,Rural,Single,Imo,3280.53188,Not_interested,Silver,PHD,2/19/11,Fully_Employed,166,141.799422,Four-Door Car,Medsize,13,19,2,1,Personal,P_L2,Call Center,3
Customer_1882,Female,156588,Rural,Married,Abuja,7429.845088,Not_interested,Silver,First_Degree,2/17/11,Fully_Employed,184,181.148732,Four-Door Car,Medsize,6,35,0,3,Personal,P_L1,Agent,3
Customer_3639,Female,0,Rural,Married,Abuja,4596.263722,Not_interested,Bronze,O_Level,1/1/2011,Not_employed,126,139.331764,Four-Door Car,Medsize,11,10,2,3,Personal,P_L2,Call Center,3
Customer_8000,Male,51854,Suburban,Single,Lagos,3935.813993,Interested,Bronze,O_Level,1/23/11,Fully_Employed,206,674.973614,SUV,Medsize,6,20,0,1,Personal,P_L3,Web,1
Customer_8245,Female,49774,Suburban,Single,Abuja,7870.0982,Not_interested,Bronze,First_Degree,5/2/2011,Fully_Employed,136,326.4,Four-Door Car,Medsize,33,6,0,2,Personal,P_L3,Agent,1
Customer_1940,Male,54144,Suburban,Married,Imo,7351.32849,Not_interested,Silver,O_Level,2/2/2011,Fully_Employed,186,565.336931,Four-Door Car,Large,24,27,0,8,Personal,P_L3,Branch,3
Customer_6950,Male,0,Suburban,Single,Abuja,4313.416903,Not_interested,Bronze,HND,2/13/11,Not_employed,134,482.4,Four-Door Car,Medsize,0,71,2,3,Personal,P_L3,Call Center,2
Customer_3519,Female,88426,Rural,Single,Abuja,6755.428413,Not_interested,Silver,HND,2/27/11,Fully_Employed,170,77.523904,Four-Door Car,Medsize,15,58,0,3,Personal,P_L3,Branch,0
Customer_1612,Male,79316,Suburban,Married,Lagos,5283.833471,Not_interested,Bronze,O_Level,2/20/11,Fully_Employed,132,316.8,Four-Door Car,Medsize,32,53,0,7,Corporate,C_L3,Branch,0
Customer_1181,Female,41216,Suburban,Divorced,Lagos,2687.177658,Not_interested,Bronze,HND,1/29/11,In_Retirement,146,350.4,Four-Door Car,Small,10,24,0,1,Personal,P_L2,Branch,2
Customer_1375,Female,52960,Suburban,Divorced,Imo,4860.429375,Not_interested,Bronze,HND,12/2/2011,Fully_Employed,126,378.695238,Two-Door Car,Medsize,13,17,0,3,Personal,P_L1,Call Center,1
Customer_7093,Female,111684,Suburban,Married,Abuja,8681.79601,Not_interested,Bronze,O_Level,2/25/11,Fully_Employed,218,703.118925,SUV,Medsize,4,26,0,3,Personal,P_L3,Agent,1
Customer_3460,Female,186544,Urban,Married,Abuja,3863.486269,Interested,Silver,HND,6/1/2011,Fully_Employed,190,281.110788,Four-Door Car,Medsize,3,54,0,1,Personal,P_L2,Branch,1
Customer_626,Female,194596,Rural,Single,Lagos,30477.78048,Not_interested,Silver,HND,1/30/11,Fully_Employed,256,48.517439,Sports Car,Medsize,16,38,0,2,Personal,P_L3,Web,3
Customer_7137,Male,190702,Urban,Married,Abuja,8942.579278,Not_interested,Bronze,First_Degree,6/1/2011,Fully_Employed,222,406.48025,Sports Car,Medsize,31,74,0,5,Personal,P_L1,Web,0
Customer_1669,Female,0,Suburban,Married,Lagos,5832.561364,Not_interested,Silver,HND,1/13/11,Not_employed,154,783.431945,Four-Door Car,Medsize,11,36,0,6,Corporate,C_L1,Agent,0
Customer_2112,Female,0,Suburban,Single,Abuja,4123.252137,Not_interested,Bronze,First_Degree,1/24/11,Not_employed,134,482.4,Two-Door Car,Medsize,7,8,6,3,Personal,P_L3,Agent,0
Customer_3443,Female,81728,Rural,Married,Abuja,4284.947971,Interested,Bronze,HND,2/26/11,Fully_Employed,218,166.937747,SUV,Medsize,16,70,2,1,Personal,P_L3,Agent,0
Customer_5307,Male,180016,Urban,Single,Lagos,16306.29777,Not_interested,Silver,PHD,1/16/11,Fully_Employed,274,406.986034,SUV,Medsize,13,3,0,2,Personal,P_L3,Web,1
Customer_5761,Male,73340,Suburban,Single,Abuja,14710.99565,Not_interested,Bronze,O_Level,2/18/11,Fully_Employed,378,907.2,Luxury Car,Medsize,30,44,0,3,Corporate,C_L3,Branch,0
Customer_84,Female,50444,Suburban,Single,Abuja,6556.216396,Not_interested,Silver,HND,1/27/11,Disabled,180,475.623251,Four-Door Car,Small,28,69,0,3,Personal,P_L3,Agent,1
Customer_5927,Male,97790,Urban,Married,Enugu,5390.023812,Not_interested,Bronze,HND,1/1/2011,Fully_Employed,136,325.009146,Four-Door Car,Large,16,27,0,7,Corporate,C_L1,Web,0
Customer_3803,Male,31482,Suburban,Divorced,Abuja,9416.943031,Not_interested,Silver,O_Level,10/1/2011,In_Retirement,264,633.6,SUV,Medsize,14,4,0,4,Special,S_L1,Web,2
Customer_2283,Male,55902,Suburban,Married,Kano,10420.31143,Not_interested,Silver,O_Level,12/1/2011,Disabled,182,436.8,Four-Door Car,Medsize,32,4,0,2,Personal,P_L3,Branch,0
Customer_8165,Female,37154,Suburban,Divorced,Abuja,6275.911874,Interested,Silver,HND,2/16/11,In_Retirement,172,412.8,Four-Door Car,Medsize,21,76,0,6,Personal,P_L3,Branch,0
Customer_3328,Female,0,Urban,Divorced,Abuja,4320.088108,Not_interested,Bronze,First_Degree,1/31/11,Not_employed,136,230.109964,Two-Door Car,Medsize,7,53,6,3,Personal,P_L3,Branch,1
